DATAFLOW,CEN23_YEAR_001,CEN23_GEO_008,CEN23_ETH_004,CEN23_AGE_003,CEN23_GEN_002,OBS_VALUE,OBS_STATUS
STATSNZ:CEN23_ECI_018(1.0),2013,7621,5,8,1,12.0,
STATSNZ:CEN23_ECI_018(1.0),2013,7609,6,8,3,,_U
STATSNZ:CEN23_ECI_018(1.0),2013,7610,5,14,1,9.0,
STATSNZ:CEN23_ECI_018(1.0),2013,7608,4,8,2,3.0,
STATSNZ:CEN23_ECI_018(1.0),2013,7609,5,11,2,3.0,
STATSNZ:CEN23_ECI_018(1.0),2013,7609,5,9,2,3.0,
STATSNZ:CEN23_ECI_018(1.0),2013,7605,2,11,2,90.0,
STATSNZ:CEN23_ECI_018(1.0),2013,7616,2,1,1,366.0,
STATSNZ:CEN23_ECI_018(1.0),2013,7610,1,6,3,,_U
STATSNZ:CEN23_ECI_018(1.0),2013,7615,1,7,2,1467.0,
STATSNZ:CEN23_ECI_018(1.0),2013,7610,1,17,2,198.0,
STATSNZ:CEN23_ECI_018(1.0),2013,7617,6,5,1,3.0,
STATSNZ:CEN23_ECI_018(1.0),2013,7607,5,15,3,,_U
STATSNZ:CEN23_ECI_018(1.0),2013,7602,6,8,1,45.0,
STATSNZ:CEN23_ECI_018(1.0),2013,7616,3,8,2,210.0,
STATSNZ:CEN23_ECI_018(1.0),2013,7615,3,6,2,594.0,
STATSNZ:CEN23_ECI_018(1.0),2013,7602,2,6,1,135.0,
STATSNZ:CEN23_ECI_018(1.0),2013,7620,1,10,2,927.0,
STATSNZ:CEN23_ECI_018(1.0),2013,7609,4,13,3,,_U
STATSNZ:CEN23_ECI_018(1.0),2013,7621,6,5,2,18.0,
STATSNZ:CEN23_ECI_018(1.0),2013,7607,2,10,1,144.0,
STATSNZ:CEN23_ECI_018(1.0),2013,7608,6,10,1,0.0,
STATSNZ:CEN23_ECI_018(1.0),2013,7610,3,7,3,,_U
STATSNZ:CEN23_ECI_018(1.0),2013,7617,3,19,3,,_U
STATSNZ:CEN23_ECI_018(1.0),2013,7619,1,12,3,,_U
STATSNZ:CEN23_ECI_018(1.0),2013,7607,5,14,1,9.0,
STATSNZ:CEN23_ECI_018(1.0),2013,7602,3,14,2,12.0,
STATSNZ:CEN23_ECI_018(1.0),2013,7620,6,6,2,15.0,
