DATAFLOW,CEN23_YEAR_001,CEN23_GEO_002,CEN23_REA_003,CEN23_ETH_003,CEN23_GEN_002,OBS_VALUE,OBS_STATUS
STATSNZ:CEN23_ECI_017(1.0),2013,7615,999,4,3,,_U
STATSNZ:CEN23_ECI_017(1.0),2013,7613,999,5,3,,_U
STATSNZ:CEN23_ECI_017(1.0),2013,7610,999,3,1,1833.0,
STATSNZ:CEN23_ECI_017(1.0),2013,7616,999,4,3,,_U
STATSNZ:CEN23_ECI_017(1.0),2013,7618,999,6,1,189.0,
STATSNZ:CEN23_ECI_017(1.0),2013,7619,999,5,2,882.0,
STATSNZ:CEN23_ECI_017(1.0),2013,7619,999,4,3,,_U
STATSNZ:CEN23_ECI_017(1.0),2013,7607,999,6,2,318.0,
STATSNZ:CEN23_ECI_017(1.0),2013,7608,999,5,1,3.0,
STATSNZ:CEN23_ECI_017(1.0),2013,7612,999,5,3,,_U
STATSNZ:CEN23_ECI_017(1.0),2013,7602,999,4,3,,_U
STATSNZ:CEN23_ECI_017(1.0),2013,7602,999,2,2,2454.0,
STATSNZ:CEN23_ECI_017(1.0),2013,7612,999,5,2,942.0,
STATSNZ:CEN23_ECI_017(1.0),2013,7611,999,2,3,,_U
STATSNZ:CEN23_ECI_017(1.0),2013,7603,999,1,2,17157.0,
STATSNZ:CEN23_ECI_017(1.0),2013,7611,999,6,2,300.0,
STATSNZ:CEN23_ECI_017(1.0),2013,7602,999,4,2,3960.0,
STATSNZ:CEN23_ECI_017(1.0),2013,7617,999,6,1,135.0,
STATSNZ:CEN23_ECI_017(1.0),2013,7613,999,2,1,1326.0,
STATSNZ:CEN23_ECI_017(1.0),2013,7609,999,2,1,432.0,
STATSNZ:CEN23_ECI_017(1.0),2013,7619,999,6,3,,_U
STATSNZ:CEN23_ECI_017(1.0),2013,7606,999,2,3,,_U
STATSNZ:CEN23_ECI_017(1.0),2013,7616,999,3,2,2841.0,
STATSNZ:CEN23_ECI_017(1.0),2013,7621,999,5,1,129.0,
STATSNZ:CEN23_ECI_017(1.0),2013,7616,999,5,1,1311.0,
STATSNZ:CEN23_ECI_017(1.0),2013,7604,999,5,2,1008.0,
STATSNZ:CEN23_ECI_017(1.0),2013,7606,999,3,1,9549.0,
STATSNZ:CEN23_ECI_017(1.0),2013,7606,999,1,1,27018.0,
STATSNZ:CEN23_ECI_017(1.0),2013,7620,999,2,2,6378.0,
STATSNZ:CEN23_ECI_017(1.0),2013,7610,999,3,2,1932.0,
STATSNZ:CEN23_ECI_017(1.0),2013,7620,999,1,3,,_U
STATSNZ:CEN23_ECI_017(1.0),2013,7610,999,3,3,,_U
STATSNZ:CEN23_ECI_017(1.0),2013,7606,999,6,2,480.0,
STATSNZ:CEN23_ECI_017(1.0),2013,7611,999,4,2,12210.0,
STATSNZ:CEN23_ECI_017(1.0),2013,7608,999,1,1,393.0,
STATSNZ:CEN23_ECI_017(1.0),2013,7612,999,6,1,612.0,
STATSNZ:CEN23_ECI_017(1.0),2013,7608,999,3,2,12.0,
STATSNZ:CEN23_ECI_017(1.0),2013,7611,999,4,3,,_U
STATSNZ:CEN23_ECI_017(1.0),2013,7606,999,4,1,10557.0,
STATSNZ:CEN23_ECI_017(1.0),2013,7612,999,2,3,,_U
STATSNZ:CEN23_ECI_017(1.0),2013,7620,999,4,2,2850.0,
STATSNZ:CEN23_ECI_017(1.0),2013,7607,999,5,3,,_U
STATSNZ:CEN23_ECI_017(1.0),2013,7612,999,4,1,12180.0,
STATSNZ:CEN23_ECI_017(1.0),2013,7620,999,6,3,,_U
STATSNZ:CEN23_ECI_017(1.0),2013,7602,999,5,1,390.0,
STATSNZ:CEN23_ECI_017(1.0),2013,7608,999,6,3,,_U
STATSNZ:CEN23_ECI_017(1.0),2013,7618,999,2,3,,_U
STATSNZ:CEN23_ECI_017(1.0),2013,7621,999,1,3,,_U
STATSNZ:CEN23_ECI_017(1.0),2013,7609,999,1,1,3426.0,
STATSNZ:CEN23_ECI_017(1.0),2013,7609,999,6,3,,_U
STATSNZ:CEN23_ECI_017(1.0),2013,7609,999,3,2,120.0,
STATSNZ:CEN23_ECI_017(1.0),2013,7614,999,5,2,684.0,
STATSNZ:CEN23_ECI_017(1.0),2013,7601,999,1,1,22896.0,
STATSNZ:CEN23_ECI_017(1.0),2013,7602,999,2,3,,_U
STATSNZ:CEN23_ECI_017(1.0),2013,7602,999,6,3,,_U
STATSNZ:CEN23_ECI_017(1.0),2013,7616,999,1,2,34629.0,
STATSNZ:CEN23_ECI_017(1.0),2013,7609,999,1,3,,_U
STATSNZ:CEN23_ECI_017(1.0),2013,7618,999,1,2,7464.0,
STATSNZ:CEN23_ECI_017(1.0),2013,7616,999,2,2,3225.0,
STATSNZ:CEN23_ECI_017(1.0),2013,7602,999,3,3,,_U
STATSNZ:CEN23_ECI_017(1.0),2013,7610,999,4,2,10431.0,
STATSNZ:CEN23_ECI_017(1.0),2013,7616,999,2,1,3099.0,
STATSNZ:CEN23_ECI_017(1.0),2013,7603,999,5,2,699.0,
STATSNZ:CEN23_ECI_017(1.0),2013,7621,999,2,1,3972.0,
STATSNZ:CEN23_ECI_017(1.0),2013,7603,999,3,3,,_U
STATSNZ:CEN23_ECI_017(1.0),2013,7603,999,3,2,498.0,
STATSNZ:CEN23_ECI_017(1.0),2013,7619,999,2,1,8763.0,
STATSNZ:CEN23_ECI_017(1.0),2013,7607,999,6,3,,_U
STATSNZ:CEN23_ECI_017(1.0),2013,7618,999,3,2,16419.0,
STATSNZ:CEN23_ECI_017(1.0),2013,7618,999,4,1,10767.0,
STATSNZ:CEN23_ECI_017(1.0),2013,7617,999,6,2,123.0,
STATSNZ:CEN23_ECI_017(1.0),2013,7615,999,6,3,,_U
STATSNZ:CEN23_ECI_017(1.0),2013,7607,999,2,3,,_U
STATSNZ:CEN23_ECI_017(1.0),2013,7608,999,2,2,78.0,
STATSNZ:CEN23_ECI_017(1.0),2013,7604,999,1,1,24537.0,
STATSNZ:CEN23_ECI_017(1.0),2013,7601,999,3,2,669.0,
STATSNZ:CEN23_ECI_017(1.0),2013,7607,999,4,1,2037.0,
STATSNZ:CEN23_ECI_017(1.0),2013,7613,999,3,1,3780.0,
STATSNZ:CEN23_ECI_017(1.0),2013,7604,999,2,3,,_U
STATSNZ:CEN23_ECI_017(1.0),2013,7601,999,2,3,,_U
STATSNZ:CEN23_ECI_017(1.0),2013,7607,999,3,2,2499.0,
STATSNZ:CEN23_ECI_017(1.0),2013,7606,999,6,1,654.0,
STATSNZ:CEN23_ECI_017(1.0),2013,7612,999,1,2,29013.0,
STATSNZ:CEN23_ECI_017(1.0),2013,7612,999,3,3,,_U
STATSNZ:CEN23_ECI_017(1.0),2013,7619,999,1,2,14601.0,
STATSNZ:CEN23_ECI_017(1.0),2013,7613,999,5,2,798.0,
STATSNZ:CEN23_ECI_017(1.0),2013,7614,999,4,3,,_U
STATSNZ:CEN23_ECI_017(1.0),2013,7607,999,5,1,339.0,
STATSNZ:CEN23_ECI_017(1.0),2013,7621,999,6,3,,_U
STATSNZ:CEN23_ECI_017(1.0),2013,7617,999,2,1,4785.0,
STATSNZ:CEN23_ECI_017(1.0),2013,7612,999,4,2,13095.0,
STATSNZ:CEN23_ECI_017(1.0),2013,7601,999,2,2,2538.0,
STATSNZ:CEN23_ECI_017(1.0),2013,7603,999,6,1,378.0,
STATSNZ:CEN23_ECI_017(1.0),2013,7616,999,1,1,32817.0,
STATSNZ:CEN23_ECI_017(1.0),2013,7603,999,5,3,,_U
STATSNZ:CEN23_ECI_017(1.0),2013,7620,999,3,1,3015.0,
STATSNZ:CEN23_ECI_017(1.0),2013,7607,999,1,1,17391.0,
STATSNZ:CEN23_ECI_017(1.0),2013,7616,999,4,2,24636.0,
STATSNZ:CEN23_ECI_017(1.0),2013,7611,999,2,2,3357.0,
STATSNZ:CEN23_ECI_017(1.0),2013,7618,999,5,1,381.0,
STATSNZ:CEN23_ECI_017(1.0),2013,7609,999,4,1,102.0,
STATSNZ:CEN23_ECI_017(1.0),2013,7601,999,5,3,,_U
STATSNZ:CEN23_ECI_017(1.0),2013,7608,999,5,3,,_U
STATSNZ:CEN23_ECI_017(1.0),2013,7610,999,2,2,2199.0,
STATSNZ:CEN23_ECI_017(1.0),2013,7613,999,3,2,4218.0,
STATSNZ:CEN23_ECI_017(1.0),2013,7615,999,1,3,,_U
STATSNZ:CEN23_ECI_017(1.0),2013,7621,999,2,3,,_U
STATSNZ:CEN23_ECI_017(1.0),2013,7603,999,4,1,7143.0,
STATSNZ:CEN23_ECI_017(1.0),2013,7616,999,3,3,,_U
STATSNZ:CEN23_ECI_017(1.0),2013,7606,999,4,2,11424.0,
STATSNZ:CEN23_ECI_017(1.0),2013,7615,999,5,3,,_U
STATSNZ:CEN23_ECI_017(1.0),2013,7621,999,3,1,1269.0,
STATSNZ:CEN23_ECI_017(1.0),2013,7621,999,6,2,462.0,
STATSNZ:CEN23_ECI_017(1.0),2013,7604,999,4,1,9738.0,
STATSNZ:CEN23_ECI_017(1.0),2013,7608,999,5,2,3.0,
STATSNZ:CEN23_ECI_017(1.0),2013,7601,999,4,2,942.0,
STATSNZ:CEN23_ECI_017(1.0),2013,7612,999,2,1,3165.0,
STATSNZ:CEN23_ECI_017(1.0),2013,7612,999,2,2,2943.0,
STATSNZ:CEN23_ECI_017(1.0),2013,7609,999,2,3,,_U
STATSNZ:CEN23_ECI_017(1.0),2013,7620,999,5,3,,_U
STATSNZ:CEN23_ECI_017(1.0),2013,7618,999,3,1,15255.0,
STATSNZ:CEN23_ECI_017(1.0),2013,7615,999,3,2,8787.0,
STATSNZ:CEN23_ECI_017(1.0),2013,7603,999,6,2,258.0,
STATSNZ:CEN23_ECI_017(1.0),2013,7604,999,3,1,2286.0,
STATSNZ:CEN23_ECI_017(1.0),2013,7605,999,6,1,477.0,
STATSNZ:CEN23_ECI_017(1.0),2013,7610,999,5,3,,_U
STATSNZ:CEN23_ECI_017(1.0),2013,7615,999,5,2,531.0,
STATSNZ:CEN23_ECI_017(1.0),2013,7621,999,6,1,651.0,
STATSNZ:CEN23_ECI_017(1.0),2013,7614,999,1,1,27759.0,
STATSNZ:CEN23_ECI_017(1.0),2013,7618,999,1,1,6909.0,
STATSNZ:CEN23_ECI_017(1.0),2013,7617,999,3,1,18732.0,
STATSNZ:CEN23_ECI_017(1.0),2013,7610,999,6,1,498.0,
STATSNZ:CEN23_ECI_017(1.0),2013,7611,999,5,3,,_U
STATSNZ:CEN23_ECI_017(1.0),2013,7615,999,3,3,,_U
STATSNZ:CEN23_ECI_017(1.0),2013,7610,999,1,3,,_U
STATSNZ:CEN23_ECI_017(1.0),2013,7603,999,3,1,579.0,
STATSNZ:CEN23_ECI_017(1.0),2013,7601,999,6,3,,_U
STATSNZ:CEN23_ECI_017(1.0),2013,7617,999,5,3,,_U
STATSNZ:CEN23_ECI_017(1.0),2013,7619,999,1,3,,_U
STATSNZ:CEN23_ECI_017(1.0),2013,7615,999,3,1,7947.0,
STATSNZ:CEN23_ECI_017(1.0),2013,7609,999,4,3,,_U
STATSNZ:CEN23_ECI_017(1.0),2013,7620,999,6,2,216.0,
STATSNZ:CEN23_ECI_017(1.0),2013,7608,999,6,1,18.0,
STATSNZ:CEN23_ECI_017(1.0),2013,7606,999,5,3,,_U
STATSNZ:CEN23_ECI_017(1.0),2013,7607,999,2,2,2652.0,
STATSNZ:CEN23_ECI_017(1.0),2013,7607,999,5,2,342.0,
STATSNZ:CEN23_ECI_017(1.0),2013,7607,999,2,1,2349.0,
STATSNZ:CEN23_ECI_017(1.0),2013,7621,999,4,1,1797.0,
STATSNZ:CEN23_ECI_017(1.0),2013,7612,999,1,3,,_U
STATSNZ:CEN23_ECI_017(1.0),2013,7604,999,3,3,,_U
STATSNZ:CEN23_ECI_017(1.0),2013,7614,999,1,3,,_U
STATSNZ:CEN23_ECI_017(1.0),2013,7602,999,5,3,,_U
STATSNZ:CEN23_ECI_017(1.0),2013,7620,999,3,2,3183.0,
STATSNZ:CEN23_ECI_017(1.0),2013,7615,999,2,1,3978.0,
STATSNZ:CEN23_ECI_017(1.0),2013,7608,999,2,3,,_U
STATSNZ:CEN23_ECI_017(1.0),2013,7617,999,1,2,6426.0,
STATSNZ:CEN23_ECI_017(1.0),2013,7610,999,1,1,22527.0,
STATSNZ:CEN23_ECI_017(1.0),2013,7617,999,5,1,255.0,
STATSNZ:CEN23_ECI_017(1.0),2013,7617,999,2,3,,_U
STATSNZ:CEN23_ECI_017(1.0),2013,7613,999,2,3,,_U
STATSNZ:CEN23_ECI_017(1.0),2013,7613,999,1,2,9990.0,
