DATAFLOW,CEN23_YEAR_001,CEN23_GEO_008,CEN23_ETH_004,CEN23_AGE_003,CEN23_GEN_002,OBS_VALUE,OBS_STATUS
STATSNZ:CEN23_ECI_018(1.0),2013,7603,10000,99,99,561.0,
STATSNZ:CEN23_ECI_018(1.0),2013,7607,10000,99,99,423.0,
STATSNZ:CEN23_ECI_018(1.0),2013,7615,10000,99,99,390.0,
STATSNZ:CEN23_ECI_018(1.0),2013,7611,10000,99,99,354.0,
STATSNZ:CEN23_ECI_018(1.0),2013,7617,10000,99,99,141.0,
STATSNZ:CEN23_ECI_018(1.0),2013,7618,10000,99,99,120.0,
STATSNZ:CEN23_ECI_018(1.0),2013,7610,10000,99,99,906.0,
STATSNZ:CEN23_ECI_018(1.0),2013,7605,10000,99,99,633.0,
STATSNZ:CEN23_ECI_018(1.0),2013,7606,10000,99,99,639.0,
STATSNZ:CEN23_ECI_018(1.0),2013,7602,10000,99,99,1302.0,
STATSNZ:CEN23_ECI_018(1.0),2013,7601,10000,99,99,390.0,
STATSNZ:CEN23_ECI_018(1.0),2013,7620,10000,99,99,234.0,
STATSNZ:CEN23_ECI_018(1.0),2013,7619,10000,99,99,222.0,
STATSNZ:CEN23_ECI_018(1.0),2013,7604,10000,99,99,723.0,
STATSNZ:CEN23_ECI_018(1.0),2013,7621,10000,99,99,519.0,
STATSNZ:CEN23_ECI_018(1.0),2013,7609,10000,99,99,111.0,
STATSNZ:CEN23_ECI_018(1.0),2013,7613,10000,99,99,201.0,
STATSNZ:CEN23_ECI_018(1.0),2013,7608,10000,99,99,9.0,
STATSNZ:CEN23_ECI_018(1.0),2013,7616,10000,99,99,1212.0,
STATSNZ:CEN23_ECI_018(1.0),2013,7614,10000,99,99,888.0,
STATSNZ:CEN23_ECI_018(1.0),2013,7612,10000,99,99,690.0,
STATSNZ:CEN23_ECI_018(1.0),2013,7621,11111,99,99,48075.0,
STATSNZ:CEN23_ECI_018(1.0),2013,7601,11111,99,99,42765.0,
STATSNZ:CEN23_ECI_018(1.0),2013,7616,11111,99,99,56649.0,
STATSNZ:CEN23_ECI_018(1.0),2013,7607,11111,99,99,31656.0,
STATSNZ:CEN23_ECI_018(1.0),2013,7605,11111,99,99,35784.0,
STATSNZ:CEN23_ECI_018(1.0),2013,7606,11111,99,99,50247.0,
STATSNZ:CEN23_ECI_018(1.0),2013,7602,11111,99,99,65361.0,
STATSNZ:CEN23_ECI_018(1.0),2013,7615,11111,99,99,27357.0,
STATSNZ:CEN23_ECI_018(1.0),2013,7613,11111,99,99,17226.0,
STATSNZ:CEN23_ECI_018(1.0),2013,7603,11111,99,99,28938.0,
STATSNZ:CEN23_ECI_018(1.0),2013,7604,11111,99,99,44286.0,
STATSNZ:CEN23_ECI_018(1.0),2013,7610,11111,99,99,38139.0,
STATSNZ:CEN23_ECI_018(1.0),2013,7609,11111,99,99,6171.0,
STATSNZ:CEN23_ECI_018(1.0),2013,7618,11111,99,99,12918.0,
STATSNZ:CEN23_ECI_018(1.0),2013,7611,11111,99,99,27516.0,
STATSNZ:CEN23_ECI_018(1.0),2013,7612,11111,99,99,50958.0,
STATSNZ:CEN23_ECI_018(1.0),2013,7614,11111,99,99,51681.0,
STATSNZ:CEN23_ECI_018(1.0),2013,7620,11111,99,99,23937.0,
STATSNZ:CEN23_ECI_018(1.0),2013,7617,11111,99,99,11292.0,
