DATAFLOW,CEN23_YEAR_001,CEN23_GEO_002,CEN23_REA_003,CEN23_ETH_003,CEN23_GEN_002,OBS_VALUE,OBS_STATUS
STATSNZ:CEN23_ECI_017(1.0),2018,7615,20,1,1,72.0,
STATSNZ:CEN23_ECI_017(1.0),2018,7605,22,3,2,3.0,
STATSNZ:CEN23_ECI_017(1.0),2018,7611,24,5,2,186.0,
STATSNZ:CEN23_ECI_017(1.0),2018,7604,25,2,2,243.0,
STATSNZ:CEN23_ECI_017(1.0),2018,7613,1,4,2,765.0,
STATSNZ:CEN23_ECI_017(1.0),2018,7602,25,4,3,,_U
STATSNZ:CEN23_ECI_017(1.0),2018,7608,1,1,1,39.0,
STATSNZ:CEN23_ECI_017(1.0),2018,7616,5,6,3,,_U
STATSNZ:CEN23_ECI_017(1.0),2018,7608,7,1,2,,c
STATSNZ:CEN23_ECI_017(1.0),2018,7620,3,3,2,72.0,
STATSNZ:CEN23_ECI_017(1.0),2018,7612,9,3,1,315.0,
STATSNZ:CEN23_ECI_017(1.0),2018,7609,15,6,2,0.0,
STATSNZ:CEN23_ECI_017(1.0),2018,7614,12,4,3,,_U
STATSNZ:CEN23_ECI_017(1.0),2018,7613,18,5,1,474.0,
STATSNZ:CEN23_ECI_017(1.0),2018,7614,15,5,2,0.0,
STATSNZ:CEN23_ECI_017(1.0),2018,7605,18,6,2,6.0,
STATSNZ:CEN23_ECI_017(1.0),2018,7602,8,2,1,90.0,
STATSNZ:CEN23_ECI_017(1.0),2018,7609,23,5,3,,_U
STATSNZ:CEN23_ECI_017(1.0),2018,7608,24,6,3,,_U
STATSNZ:CEN23_ECI_017(1.0),2018,7615,17,6,2,12.0,
STATSNZ:CEN23_ECI_017(1.0),2018,7605,21,1,1,3.0,
STATSNZ:CEN23_ECI_017(1.0),2018,7617,22,4,3,,_U
STATSNZ:CEN23_ECI_017(1.0),2018,7610,23,3,3,,_U
STATSNZ:CEN23_ECI_017(1.0),2018,7616,24,5,1,258.0,
STATSNZ:CEN23_ECI_017(1.0),2018,7621,24,3,3,,_U
STATSNZ:CEN23_ECI_017(1.0),2018,7609,24,1,1,2625.0,
STATSNZ:CEN23_ECI_017(1.0),2018,7611,8,2,2,120.0,
STATSNZ:CEN23_ECI_017(1.0),2018,7603,15,1,1,0.0,
STATSNZ:CEN23_ECI_017(1.0),2018,7607,16,1,2,87.0,
STATSNZ:CEN23_ECI_017(1.0),2018,7612,12,3,2,51.0,
STATSNZ:CEN23_ECI_017(1.0),2018,7617,20,4,1,6.0,
STATSNZ:CEN23_ECI_017(1.0),2018,7616,22,4,3,,_U
STATSNZ:CEN23_ECI_017(1.0),2018,7614,25,6,3,,_U
STATSNZ:CEN23_ECI_017(1.0),2018,7616,25,4,1,1290.0,
STATSNZ:CEN23_ECI_017(1.0),2018,7601,25,5,2,18.0,
STATSNZ:CEN23_ECI_017(1.0),2018,7620,16,2,3,,_U
STATSNZ:CEN23_ECI_017(1.0),2018,7601,17,1,2,51.0,
STATSNZ:CEN23_ECI_017(1.0),2018,7612,19,3,3,,_U
STATSNZ:CEN23_ECI_017(1.0),2018,7602,21,4,2,78.0,
STATSNZ:CEN23_ECI_017(1.0),2018,7602,12,5,2,54.0,
STATSNZ:CEN23_ECI_017(1.0),2018,7619,21,1,2,12.0,
STATSNZ:CEN23_ECI_017(1.0),2018,7603,19,1,1,36.0,
STATSNZ:CEN23_ECI_017(1.0),2018,7610,2,6,3,,_U
STATSNZ:CEN23_ECI_017(1.0),2018,7610,15,1,3,,_U
STATSNZ:CEN23_ECI_017(1.0),2018,7612,4,5,2,3.0,
STATSNZ:CEN23_ECI_017(1.0),2018,7609,17,6,2,0.0,
STATSNZ:CEN23_ECI_017(1.0),2018,7606,23,4,3,,_U
STATSNZ:CEN23_ECI_017(1.0),2018,7618,25,4,1,597.0,
STATSNZ:CEN23_ECI_017(1.0),2018,7609,18,6,3,,_U
STATSNZ:CEN23_ECI_017(1.0),2018,7610,18,5,3,,_U
STATSNZ:CEN23_ECI_017(1.0),2018,7615,23,3,3,,_U
STATSNZ:CEN23_ECI_017(1.0),2018,7612,4,1,2,255.0,
STATSNZ:CEN23_ECI_017(1.0),2018,7610,22,6,1,9.0,
